id,k,algorithm,nodes,edges,complementer_edges,betweenness_centrality (new edges),betweenness_centrality (all edges),number_of_spanning_trees,time
0,1,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 2), (0, 3), (0, 5), (0, 6), (1, 7), (2, 4), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]","{(3, 5, 1), (0, 1, 1), (1, 2, 1), (2, 7, 1), (3, 6, 1), (0, 4, 1), (1, 4, 1), (0, 7, 1), (1, 3, 1), (2, 6, 1), (2, 3, 1), (2, 5, 1), (3, 7, 1), (6, 7, 1), (3, 4, 1), (1, 5, 1), (1, 6, 1)}","[((1, 3), 0.14583333333333331)]","{(0, 2): 0.14583333333333331, (0, 3): 0.2351190476190476, (0, 5): 0.14583333333333331, (0, 6): 0.1220238095238095, (1, 7): 0.19345238095238093, (1, 3): 0.14583333333333331, (2, 4): 0.14583333333333331, (4, 5): 0.0744047619047619, (4, 6): 0.10416666666666666, (4, 7): 0.16369047619047616, (5, 6): 0.06547619047619047, (5, 7): 0.1369047619047619}",242,0.05761122703552246
0,2,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 2), (0, 3), (0, 5), (0, 6), (1, 7), (2, 4), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]","{(3, 5, 1), (0, 1, 1), (1, 2, 1), (2, 7, 1), (3, 6, 1), (0, 4, 1), (1, 4, 1), (0, 7, 1), (1, 3, 1), (2, 6, 1), (2, 3, 1), (2, 5, 1), (3, 7, 1), (6, 7, 1), (3, 4, 1), (1, 5, 1), (1, 6, 1)}","[((1, 2), 0.1285714285714286), ((1, 3), 0.12857142857142856)]","{(0, 2): 0.13333333333333333, (0, 3): 0.1714285714285714, (0, 5): 0.14404761904761904, (0, 6): 0.12261904761904763, (1, 7): 0.16428571428571426, (1, 3): 0.12857142857142856, (1, 2): 0.1285714285714286, (2, 4): 0.14047619047619045, (4, 5): 0.07261904761904761, (4, 6): 0.10476190476190476, (4, 7): 0.10357142857142856, (5, 6): 0.06071428571428571, (5, 7): 0.13214285714285715}",577,0.25470995903015137
0,3,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 2), (0, 3), (0, 5), (0, 6), (1, 7), (2, 4), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]","{(3, 5, 1), (0, 1, 1), (1, 2, 1), (2, 7, 1), (3, 6, 1), (0, 4, 1), (1, 4, 1), (0, 7, 1), (1, 3, 1), (2, 6, 1), (2, 3, 1), (2, 5, 1), (3, 7, 1), (6, 7, 1), (3, 4, 1), (1, 5, 1), (1, 6, 1)}","[((1, 2), 0.10714285714285712), ((1, 3), 0.10714285714285712), ((3, 4), 0.12797619047619047)]","{(0, 2): 0.11607142857142856, (0, 3): 0.11607142857142856, (0, 5): 0.11607142857142856, (0, 6): 0.09226190476190474, (1, 7): 0.13095238095238093, (1, 3): 0.10714285714285712, (1, 2): 0.10714285714285712, (2, 4): 0.12797619047619047, (3, 4): 0.12797619047619047, (4, 5): 0.08035714285714285, (4, 6): 0.11607142857142856, (4, 7): 0.10714285714285714, (5, 6): 0.059523809523809514, (5, 7): 0.13095238095238096}",1137,0.3485877513885498
1,1,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 2), (0, 3), (0, 6), (1, 2), (1, 3), (1, 6), (2, 5), (3, 7), (4, 5), (4, 6), (5, 6), (5, 7)]","{(3, 5, 1), (0, 1, 1), (2, 7, 1), (3, 6, 1), (4, 7, 1), (0, 4, 1), (1, 7, 1), (1, 4, 1), (0, 7, 1), (2, 6, 1), (2, 3, 1), (6, 7, 1), (3, 4, 1), (1, 5, 1), (2, 4, 1), (0, 5, 1)}","[((4, 7), 0.08928571428571427)]","{(0, 2): 0.09523809523809523, (0, 3): 0.11904761904761903, (0, 6): 0.13095238095238093, (1, 2): 0.09523809523809523, (1, 3): 0.11904761904761903, (1, 6): 0.13095238095238093, (2, 5): 0.15476190476190477, (3, 7): 0.17857142857142855, (4, 5): 0.07142857142857142, (4, 6): 0.125, (4, 7): 0.08928571428571427, (5, 6): 0.10119047619047618, (5, 7): 0.125}",660,0.05057168006896973
1,2,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 2), (0, 3), (0, 6), (1, 2), (1, 3), (1, 6), (2, 5), (3, 7), (4, 5), (4, 6), (5, 6), (5, 7)]","{(3, 5, 1), (0, 1, 1), (2, 7, 1), (3, 6, 1), (4, 7, 1), (0, 4, 1), (1, 7, 1), (1, 4, 1), (0, 7, 1), (2, 6, 1), (2, 3, 1), (6, 7, 1), (3, 4, 1), (1, 5, 1), (2, 4, 1), (0, 5, 1)}","[((2, 7), 0.10119047619047618), ((4, 7), 0.10714285714285714)]","{(0, 2): 0.10714285714285712, (0, 3): 0.09523809523809523, (0, 6): 0.13095238095238093, (1, 2): 0.10714285714285712, (1, 3): 0.09523809523809523, (1, 6): 0.13095238095238093, (2, 5): 0.10119047619047618, (2, 7): 0.10119047619047618, (3, 7): 0.15476190476190477, (4, 5): 0.05357142857142857, (4, 6): 0.125, (4, 7): 0.10714285714285714, (5, 6): 0.10119047619047618, (5, 7): 0.08928571428571427}",1197,0.13604068756103516
1,3,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 2), (0, 3), (0, 6), (1, 2), (1, 3), (1, 6), (2, 5), (3, 7), (4, 5), (4, 6), (5, 6), (5, 7)]","{(3, 5, 1), (0, 1, 1), (2, 7, 1), (3, 6, 1), (4, 7, 1), (0, 4, 1), (1, 7, 1), (1, 4, 1), (0, 7, 1), (2, 6, 1), (2, 3, 1), (6, 7, 1), (3, 4, 1), (1, 5, 1), (2, 4, 1), (0, 5, 1)}","[((2, 7), 0.10119047619047618), ((4, 7), 0.07142857142857142), ((3, 4), 0.10119047619047618)]","{(0, 2): 0.10714285714285712, (0, 3): 0.10714285714285712, (0, 6): 0.10714285714285714, (1, 2): 0.10714285714285712, (1, 3): 0.10714285714285712, (1, 6): 0.10714285714285714, (2, 5): 0.10119047619047618, (2, 7): 0.10119047619047618, (3, 7): 0.10119047619047618, (3, 4): 0.10119047619047618, (4, 5): 0.07142857142857142, (4, 6): 0.10119047619047618, (4, 7): 0.07142857142857142, (5, 6): 0.10119047619047618, (5, 7): 0.07142857142857142}",2166,0.14069366455078125
2,1,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 3), (0, 5), (0, 6), (1, 2), (2, 3), (2, 4), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7)]","{(3, 5, 1), (0, 1, 1), (2, 7, 1), (0, 4, 1), (1, 7, 1), (0, 7, 1), (1, 3, 1), (1, 4, 1), (2, 6, 1), (2, 5, 1), (3, 4, 1), (1, 5, 1), (5, 6, 1), (0, 2, 1), (1, 6, 1)}","[((1, 5), 0.16428571428571426)]","{(0, 3): 0.10119047619047618, (0, 5): 0.13809523809523808, (0, 6): 0.08452380952380951, (1, 2): 0.12142857142857144, (1, 5): 0.16428571428571426, (2, 3): 0.16190476190476188, (2, 4): 0.1261904761904762, (3, 6): 0.07261904761904761, (3, 7): 0.09523809523809523, (4, 5): 0.10833333333333332, (4, 6): 0.10952380952380951, (4, 7): 0.06547619047619047, (5, 7): 0.12023809523809521, (6, 7): 0.06666666666666667}",1044,0.06737494468688965
2,2,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 3), (0, 5), (0, 6), (1, 2), (2, 3), (2, 4), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7)]","{(3, 5, 1), (0, 1, 1), (2, 7, 1), (0, 4, 1), (1, 7, 1), (0, 7, 1), (1, 3, 1), (1, 4, 1), (2, 6, 1), (2, 5, 1), (3, 4, 1), (1, 5, 1), (5, 6, 1), (0, 2, 1), (1, 6, 1)}","[((0, 1), 0.10714285714285714), ((1, 5), 0.10714285714285714)]","{(0, 3): 0.10119047619047618, (0, 5): 0.0952380952380952, (0, 6): 0.11309523809523808, (0, 1): 0.10714285714285714, (1, 2): 0.10714285714285714, (1, 5): 0.10714285714285714, (2, 3): 0.11904761904761903, (2, 4): 0.11904761904761904, (3, 6): 0.06547619047619047, (3, 7): 0.09523809523809523, (4, 5): 0.10119047619047618, (4, 6): 0.09523809523809523, (4, 7): 0.06547619047619047, (5, 7): 0.11309523809523808, (6, 7): 0.059523809523809514}",2093,0.20312881469726562
2,3,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 3), (0, 5), (0, 6), (1, 2), (2, 3), (2, 4), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7)]","{(3, 5, 1), (0, 1, 1), (2, 7, 1), (0, 4, 1), (1, 7, 1), (0, 7, 1), (1, 3, 1), (1, 4, 1), (2, 6, 1), (2, 5, 1), (3, 4, 1), (1, 5, 1), (5, 6, 1), (0, 2, 1), (1, 6, 1)}","[((0, 1), 0.09226190476190474), ((1, 5), 0.06547619047619047), ((1, 7), 0.09821428571428571)]","{(0, 3): 0.09226190476190477, (0, 5): 0.09226190476190474, (0, 6): 0.09226190476190477, (0, 1): 0.09226190476190474, (1, 2): 0.10714285714285712, (1, 5): 0.06547619047619047, (1, 7): 0.09821428571428571, (2, 3): 0.10714285714285711, (2, 4): 0.10714285714285712, (3, 6): 0.06547619047619047, (3, 7): 0.09821428571428571, (4, 5): 0.09523809523809523, (4, 6): 0.09523809523809523, (4, 7): 0.07142857142857142, (5, 7): 0.07440476190476189, (6, 7): 0.07440476190476189}",3540,0.28250694274902344
3,1,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[(0, 1), (0, 4), (0, 5), (0, 6), (0, 8), (1, 2), (1, 4), (1, 5), (1, 6), (2, 3), (2, 6), (2, 7), (2, 8), (3, 4), (3, 6), (3, 7), (4, 5), (4, 6)]","{(3, 5, 1), (5, 7, 1), (4, 7, 1), (1, 7, 1), (0, 7, 1), (1, 3, 1), (6, 7, 1), (0, 3, 1), (2, 5, 1), (3, 8, 1), (6, 8, 1), (7, 8, 1), (1, 8, 1), (4, 8, 1), (5, 6, 1), (0, 2, 1), (5, 8, 1), (2, 4, 1)}","[((7, 8), 0.07870370370370369)]","{(0, 1): 0.05092592592592592, (0, 4): 0.06944444444444445, (0, 5): 0.07407407407407407, (0, 6): 0.07407407407407407, (0, 8): 0.15740740740740738, (1, 2): 0.13425925925925924, (1, 4): 0.04629629629629629, (1, 5): 0.07407407407407406, (1, 6): 0.04629629629629629, (2, 3): 0.06018518518518519, (2, 6): 0.07407407407407407, (2, 7): 0.07870370370370369, (2, 8): 0.07870370370370369, (3, 4): 0.12499999999999997, (3, 6): 0.0648148148148148, (3, 7): 0.09259259259259257, (4, 5): 0.07407407407407406, (4, 6): 0.04629629629629629, (7, 8): 0.07870370370370369}",13449,0.05005455017089844
3,2,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[(0, 1), (0, 4), (0, 5), (0, 6), (0, 8), (1, 2), (1, 4), (1, 5), (1, 6), (2, 3), (2, 6), (2, 7), (2, 8), (3, 4), (3, 6), (3, 7), (4, 5), (4, 6)]","{(3, 5, 1), (5, 7, 1), (4, 7, 1), (1, 7, 1), (0, 7, 1), (1, 3, 1), (6, 7, 1), (0, 3, 1), (2, 5, 1), (3, 8, 1), (6, 8, 1), (7, 8, 1), (1, 8, 1), (4, 8, 1), (5, 6, 1), (0, 2, 1), (5, 8, 1), (2, 4, 1)}","[((5, 7), 0.1111111111111111), ((7, 8), 0.06944444444444445)]","{(0, 1): 0.05092592592592592, (0, 4): 0.06944444444444445, (0, 5): 0.0648148148148148, (0, 6): 0.07407407407407407, (0, 8): 0.12037037037037035, (1, 2): 0.09722222222222221, (1, 4): 0.04629629629629629, (1, 5): 0.0648148148148148, (1, 6): 0.04629629629629629, (2, 3): 0.06018518518518519, (2, 6): 0.07407407407407407, (2, 7): 0.06944444444444445, (2, 8): 0.07870370370370369, (3, 4): 0.08796296296296295, (3, 6): 0.0648148148148148, (3, 7): 0.08333333333333333, (4, 5): 0.0648148148148148, (4, 6): 0.04629629629629629, (5, 7): 0.1111111111111111, (7, 8): 0.06944444444444445}",25672,0.12170767784118652
3,3,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[(0, 1), (0, 4), (0, 5), (0, 6), (0, 8), (1, 2), (1, 4), (1, 5), (1, 6), (2, 3), (2, 6), (2, 7), (2, 8), (3, 4), (3, 6), (3, 7), (4, 5), (4, 6)]","{(3, 5, 1), (5, 7, 1), (4, 7, 1), (1, 7, 1), (0, 7, 1), (1, 3, 1), (6, 7, 1), (0, 3, 1), (2, 5, 1), (3, 8, 1), (6, 8, 1), (7, 8, 1), (1, 8, 1), (4, 8, 1), (5, 6, 1), (0, 2, 1), (5, 8, 1), (2, 4, 1)}","[((5, 7), 0.10185185185185183), ((7, 8), 0.06944444444444445), ((4, 8), 0.08101851851851852)]","{(0, 1): 0.046296296296296294, (0, 4): 0.041666666666666664, (0, 5): 0.060185185185185175, (0, 6): 0.06944444444444443, (0, 8): 0.0787037037037037, (1, 2): 0.09027777777777776, (1, 4): 0.05324074074074074, (1, 5): 0.0648148148148148, (1, 6): 0.04629629629629629, (2, 3): 0.05324074074074074, (2, 6): 0.06712962962962962, (2, 7): 0.06944444444444445, (2, 8): 0.07175925925925926, (3, 4): 0.09027777777777776, (3, 6): 0.0648148148148148, (3, 7): 0.07407407407407407, (4, 5): 0.06944444444444443, (4, 6): 0.05324074074074074, (4, 8): 0.08101851851851852, (5, 7): 0.10185185185185183, (7, 8): 0.06944444444444445}",41708,0.22253108024597168
4,1,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 7), (0, 8), (0, 9), (1, 6), (1, 7), (1, 9), (2, 4), (2, 6), (2, 7), (2, 9), (3, 6), (3, 9), (4, 5), (4, 7), (5, 6), (5, 7), (5, 8), (8, 9)]","{(0, 1, 1), (6, 9, 1), (1, 3, 1), (4, 9, 1), (6, 7, 1), (3, 4, 1), (7, 8, 1), (2, 3, 1), (1, 4, 1), (3, 7, 1), (3, 8, 1), (0, 6, 1), (1, 2, 1), (2, 5, 1), (4, 6, 1), (6, 8, 1), (1, 8, 1), (4, 8, 1), (3, 5, 1), (7, 9, 1), (5, 9, 1), (1, 5, 1), (2, 8, 1)}","[((1, 8), 0.05555555555555556)]","{(0, 2): 0.053703703703703705, (0, 3): 0.1037037037037037, (0, 4): 0.06666666666666667, (0, 5): 0.0574074074074074, (0, 7): 0.06666666666666667, (0, 8): 0.07037037037037037, (0, 9): 0.05925925925925926, (1, 6): 0.07407407407407407, (1, 7): 0.08888888888888888, (1, 9): 0.06296296296296296, (1, 8): 0.05555555555555556, (2, 4): 0.05, (2, 6): 0.07592592592592591, (2, 7): 0.04999999999999999, (2, 9): 0.07407407407407407, (3, 6): 0.06666666666666667, (3, 9): 0.05925925925925926, (4, 5): 0.05, (4, 7): 0.044444444444444446, (5, 6): 0.08333333333333333, (5, 7): 0.04999999999999999, (5, 8): 0.07037037037037037, (8, 9): 0.05555555555555556}",120760,0.08349895477294922
4,2,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 7), (0, 8), (0, 9), (1, 6), (1, 7), (1, 9), (2, 4), (2, 6), (2, 7), (2, 9), (3, 6), (3, 9), (4, 5), (4, 7), (5, 6), (5, 7), (5, 8), (8, 9)]","{(0, 1, 1), (6, 9, 1), (1, 3, 1), (4, 9, 1), (6, 7, 1), (3, 4, 1), (7, 8, 1), (2, 3, 1), (1, 4, 1), (3, 7, 1), (3, 8, 1), (0, 6, 1), (1, 2, 1), (2, 5, 1), (4, 6, 1), (6, 8, 1), (1, 8, 1), (4, 8, 1), (3, 5, 1), (7, 9, 1), (5, 9, 1), (1, 5, 1), (2, 8, 1)}","[((1, 8), 0.05555555555555556), ((3, 4), 0.0611111111111111)]","{(0, 2): 0.05185185185185185, (0, 3): 0.0648148148148148, (0, 4): 0.040740740740740744, (0, 5): 0.053703703703703705, (0, 7): 0.055555555555555546, (0, 8): 0.07037037037037037, (0, 9): 0.05555555555555556, (1, 6): 0.07407407407407407, (1, 7): 0.08888888888888888, (1, 9): 0.06296296296296296, (1, 8): 0.05555555555555556, (2, 4): 0.04814814814814815, (2, 6): 0.07037037037037036, (2, 7): 0.04999999999999999, (2, 9): 0.06851851851851852, (3, 6): 0.06851851851851852, (3, 9): 0.06481481481481483, (3, 4): 0.0611111111111111, (4, 5): 0.053703703703703705, (4, 7): 0.05555555555555556, (5, 6): 0.07592592592592592, (5, 7): 0.04999999999999999, (5, 8): 0.07037037037037037, (8, 9): 0.05555555555555556}",202524,0.0931401252746582
4,3,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 7), (0, 8), (0, 9), (1, 6), (1, 7), (1, 9), (2, 4), (2, 6), (2, 7), (2, 9), (3, 6), (3, 9), (4, 5), (4, 7), (5, 6), (5, 7), (5, 8), (8, 9)]","{(0, 1, 1), (6, 9, 1), (1, 3, 1), (4, 9, 1), (6, 7, 1), (3, 4, 1), (7, 8, 1), (2, 3, 1), (1, 4, 1), (3, 7, 1), (3, 8, 1), (0, 6, 1), (1, 2, 1), (2, 5, 1), (4, 6, 1), (6, 8, 1), (1, 8, 1), (4, 8, 1), (3, 5, 1), (7, 9, 1), (5, 9, 1), (1, 5, 1), (2, 8, 1)}","[((3, 8), 0.05), ((1, 8), 0.05925925925925927), ((3, 4), 0.06666666666666667)]","{(0, 2): 0.05185185185185185, (0, 3): 0.05185185185185185, (0, 4): 0.03703703703703704, (0, 5): 0.05185185185185185, (0, 7): 0.055555555555555546, (0, 8): 0.05555555555555556, (0, 9): 0.05555555555555556, (1, 6): 0.06666666666666667, (1, 7): 0.08888888888888888, (1, 9): 0.05925925925925927, (1, 8): 0.05925925925925927, (2, 4): 0.04814814814814815, (2, 6): 0.07037037037037036, (2, 7): 0.04999999999999999, (2, 9): 0.06851851851851852, (3, 6): 0.07037037037037036, (3, 9): 0.05, (3, 4): 0.06666666666666667, (3, 8): 0.05, (4, 5): 0.04814814814814815, (4, 7): 0.05555555555555556, (5, 6): 0.07037037037037036, (5, 7): 0.04999999999999999, (5, 8): 0.06851851851851852, (8, 9): 0.044444444444444446}",313664,0.18620085716247559
